ESCO Company Name,Address,Phone,Fax,Email,Website,Commodity,Territory,Service Class
"ABC Energy, LLC.","200 East Post Road, Suite 200, White Plains, NY 10601",866-497-2041,800-727-5062,info@abcenergy.com,http://abcenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"ABN Energy, LLC","1434 Western Ave, Suite 1 #7997, Albany, NY 12203",(516) 992-6000,(516) 619-0489,info@abnenergy.com,http://www.abnenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
APG&E (TX),"6161 Savoy Drive, Suite 500, Houston, TX 77036",877-544-4857,888-456-2085,customer-care@apge.com,http://www.apge.com,ELECTRIC,,Commercial/Industrial - Serving
"ASC Energy Services, Inc.","1595 Ocean Ave., Suite A12, Bohemia, NY 11716",631-750-5200,631-750-6063,info@ascenergyservices.com,http://www.ascenergyservices.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
Abest Green Power,"333 Mamaroneck Avenue, Suite 387, White Plains, NY 10605",888-987-6937,,wecare@abestgreenpower.com,http://www.abestgreenpower.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
"Aggressive Energy, LLC","78 Rapelye Street, Brooklyn, NY 11231",888-836-9222,332-244-8866,info@aggressiveny.com,http://www.aggressiveenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"Agway Energy Services, LLC.","5793 Widewaters Parkway, Syracuse, NY 13214",888-982-4929,315-459-6545,aesweb@suburbanpropane.com,http://www.agwayenergy.com/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
Alist Energy LLC,"300 E. Lombard St., Suite 840, Baltimore, MD 21202",1-800-213-8148,,alistenergyllc@gmail.com,http://rualist.com,ELECTRIC,,Commercial/Industrial - Serving || Residential - Certified - Not Serving || Small Commercial - Serving
"All American Power and Gas, LLC.","25166 Marion Avenue, Suite 113, Punta Gorda, FL 33950",347-5234492,212-731-0297,support@aapandg.com,http://aapandg.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"All Choice Energy, LLC","3 School Street, Suite 101B, Glen Cove, NY 11542",844-344-2672,516-213-1296,customerservice@allchoiceenergy.com,http://www.allchoiceenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Niagara Mohawk Power Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
